제목,리뷰,평점
어벤져스: 엔드게임,보고 왔는대 기대 이상...역대 마블 영화중에서도종지부임을 확실하게 보여줌. 마지막이자 최고 ,10
어벤져스: 엔드게임,인생 최고의 시리즈... 엔드게임 보고 난 후  알수없는  먹먹함..최고 ,10
어벤져스: 엔드게임,진짜 할말이없다 ㅋㅋ 이건 역대급영화인듯 ,10
어벤져스: 엔드게임,어벤져스.. 벌써 그립다 ㅜ ,10
어벤져스: 엔드게임,꼭봐재발부탁이야 정말로... ,10
어벤져스: 엔드게임,짱입미다짱압미다우아려너노 ,10
어벤져스: 엔드게임,너무 보고 싶네요엄청 기대가 되능데기대가 큰만큼 실망이될까봐 걱정!걱정!!걱정!!!그래도 어벤져스 엔드게임 마지막의리로 갑니다.가즈아~~~ ,10
어벤져스: 엔드게임,아이언맨은 진짜 히어로ㅠㅠ 눈물 났다 ,10
어벤져스: 엔드게임,너구리졸귀탱??마블사랑해여 최고 ,10
호랑이보다 무서운 겨울손님,연기하는거보고 실제로도 두분 사이가 어색할거같음 ,6
어벤져스: 엔드게임,포탈보고 지렸습니다 근데 캡마 숏컷 윾시 펨전사 ,10
노무현과 바보들,놈현과 ㅂㅅ들ㅋㅋㅋㅋ ,1
어벤져스: 엔드게임,영화끝나고 모든사람들표정이 저와같았고 다들 설명할수없는 후유증 ..또봐야지 ,10
어벤져스: 엔드게임,관객대부분이 어벤저스 팬이기에 만들 수 있는 스토리. 개그씬도 감동도 각 캐릭터의 배경을 알아야. 거기에 단순 시네마틱 팬은 웃을 수 없는 개그까지 -1점.쿠키는 없지만 앞으로 방향을 빤히 보여주는 은퇴식 -1점. ,8
어벤져스: 엔드게임,타노스는 결국 ★★가 되어 ,10
요로나의 저주,개인적으로는 흥미롭게 잘봤습니다. ~~ ,10
어벤져스: 엔드게임,정말 재미있게 봤어요. 끝나고나니 아쉽군요. ,10
어벤져스: 엔드게임,도리도리죔죔 허니잼 ㅎㅎ ,9
어벤져스: 엔드게임,"thank you, avengers! ",10
어벤져스: 엔드게임,We are Iron-man ,10
어벤져스: 엔드게임,3시간이 2시간처럼 지나간다. ,10
어벤져스: 엔드게임,종합선물상자같은 마지막편 ,10
어벤져스: 엔드게임,Thank you marvel. ,10
어벤져스: 엔드게임,"""캡""멋있음!!!우리 햄식이 원래 모습으로 돌아와... ",10
어벤져스: 엔드게임,완벽그자체 연출미침... ,10
어벤져스: 엔드게임,10년간 대장정의 클라이막스이 시대에 태어나게 된것에 너무 감사하다 ,10
어벤져스: 엔드게임,"어떤말을해야할지 모르겠다. 다만 영화끝난후에 남는것은 뻥뚤려버린거 같은 가슴과 울어서 부은눈이었다는고 밖엔,,,, ",10
어벤져스: 엔드게임,핌 입자 부족하다면서 어떻게 타노스 군단이 한번에 비행체 타고 넘어오는지는 의문이지만 마지막 싸움은 전율 ,8
어벤져스: 엔드게임,다시는 없을 히어로영화 ,10
어벤져스: 엔드게임,전편보다는 확실히 임팩트는 떨어진다 빌런이 승리하는 히어로물의 충격이 가시지 않아서 그런가 이번편은 전쟁씬이 싱겁고 아쉬웠다. 최고의 명장면으로 블랙위도우와 호크아이가 서로 희생하겠다며 몸싸움 하던 장면이 눈물이 났다 괜찮다고 말하던 나타샤.. ,8
어벤져스: 엔드게임,너무재밌어요ㅠㅠㅠㅠ ,10
어벤져스: 엔드게임,"아이언맨이랑 블랙위도우가 죽고, 타노스 일당이 먼지가 됩니다. ",10
요로나의 저주,이영화는 최악입니다 .절대 보지마세요 아시겟어요?YE??! ,1
어벤져스: 엔드게임,사랑해요 ㅠㅠㅠㅠ아진짜 영화끝나고도 못일어나겠어 ㅠㅠㅠㅠ ,10
어벤져스: 엔드게임,역시 !최고입니다 !시간가는줄모르고 봤어요 ,10
어벤져스: 엔드게임,비만 토르~!!! 빵터졌다 ,8
어벤져스: 엔드게임,어벤져스! 어쎔블!! ,10
어벤져스: 엔드게임,어벤져스 모든편을 한번에 다 본 기분 하나하나 모든편들이 생각나고 스토리도 빠르게 진행되서 지루하지 않았음 ,10
어벤져스: 엔드게임,아쉽다...근데 어떻게 만들어도 아쉬웠을듯 ,10
어벤져스: 엔드게임,마블 영화보면서 처음으로 울었다... ,10
어벤져스: 엔드게임,진짜지루함 진짜루진짜 ,2
어벤져스: 엔드게임,스포 때문에 오늘 봄!그 결과는 꿀잼!!어벤져스 어셈블~!!!하는 장면에서 온몸에 소름이 쫙!!! ,10
어벤져스: 엔드게임,지릴까봐 침도 아껴서 삼켰다. ,10
어벤져스: 엔드게임,박수를 보냅니다....! ,10
어벤져스: 엔드게임,"잘 마무리 되었어요 언제나 그랬듯이 재미있었구요 하지만 이영화 자체를 아! 대작이다!, 마스터피스다! 라고는 못할듯요 슈퍼히어로 종합선물 셋트 이기에 보여줄수있는 장점과 단점을 모두 선명히 보여줍니다 10년을 보아온 보든분께 큰  선물이 될 영화 이ㅣ ",7
어벤져스: 엔드게임,"토니에 질문에 닥터스트레인지가 ‘그걸 알면 일어나지 않어’ 이 대답에 캡아1에서 시험삼아 던진 수류탄에 캡틴이 몸을 던진 장면이 생각났다. 토니, 스티븐 로저스는 슈트개발하기전 신체를 개조하기전 이미 히어로 였던것 같다 ",10
어벤져스: 엔드게임,영화 미쳤다... 엄청 나다... ,10
어벤져스: 엔드게임,내사랑 주희가 10점 주래요 ,10
어벤져스: 엔드게임,음... 여러분.... 역변한 애들이.... 두명 있어요....너무 충격받지 마세요... ,10
어벤져스: 엔드게임,재밋어요x10000 ,10
어벤져스: 엔드게임,돌아와요 아이언맨 ㅜㅜ ,10
어벤져스: 엔드게임,날씨기사 댓글에 뜬금없이 스포쓰지마세요하다하다이제ㅜ ,10
어벤져스: 엔드게임,최고의 영화는 아닐지라도 최고의 마무리. ,10
어벤져스: 엔드게임,진짜 치즈버거 먹고싶다고할때 눈물났다ㅠㅠㅠ ,10
